country,samples,mae,rmse,mape,mean_target,mean_prediction
Oceania,2,71.88245000000006,73.07780556779882,3.7794866388222803,1901.1745,1973.0569500000001
Oman,2,27.98473500000003,29.372801793095118,6.371541353317765,441.1175,413.13276499999995
Other Asia Pacific (EI),2,128.05864999999994,128.80864907235457,11.95856937728417,1069.5745,941.51585
Other CIS (EI),2,16.18262,18.922238364244862,6.77961703195712,236.62599999999998,220.44338
Other Caribbean (EI),2,12.996350000000007,16.517093885142167,2.9493258830581293,449.02900999999997,462.02536
Other Europe (EI),2,9.088424999999972,11.27300753176584,1.6792188456747255,535.861,529.1915750000001
Other Middle East (EI),2,36.372275,37.22869946783328,6.560613326995682,554.4275,518.0552250000001
Other Northern Africa (EI),2,71.832445,72.06771148540136,17.13171024176251,418.81749,346.985045
Other South America (EI),2,20.45519999999999,20.511334126343403,5.455147807664231,374.68949999999995,373.17305
Other Southern Africa (EI),2,2.005982500000002,2.016647098605135,3.5661611293751823,56.399,54.3930175
Pakistan,2,42.64954,45.505958259240096,4.743062941295196,896.307,938.95654
Peru,2,39.56314999999998,54.0347384873046,10.600656084349081,358.8465,322.04283
Philippines,2,91.38676499999997,91.82133630917404,14.458801730774635,630.6669999999999,539.280235
Poland,2,79.46359999999993,79.56122242003316,7.035950583500364,1129.2245,1208.6880999999998
Portugal,2,5.6921999999999855,7.975994735761801,2.10664674514915,268.106,273.7982
Qatar,2,85.988585,98.8235865979689,13.30634286561706,636.858,550.869415
Romania,2,28.74911499999999,31.117401368164554,8.02558291116091,357.42,386.16911500000003
Russia,2,859.0306999999998,874.3815443181423,9.619455015003076,8905.0265,8045.995800000001
Saudi Arabia,2,158.74379999999996,166.98768131356272,4.869943077111181,3245.5825,3193.7627
Singapore,2,29.086365,29.234629319224318,2.855757662948941,1022.6255000000001,1051.711865
Slovakia,2,11.063874999999996,12.285409434351385,6.030051866252285,182.7045,193.768375
Slovenia,2,1.4994325000000046,1.5066105099236875,1.9703218626735266,76.459,76.60589250000001
South Africa,2,79.62495000000001,80.47193837024807,5.834042866867432,1365.2404999999999,1444.86545
South America,2,224.47750000000042,225.66356481428315,2.929698075565612,7667.8195,7443.342
South Korea,2,24.36389999999983,25.5452641632455,0.6775213834970117,3587.058,3611.4219
South and Central America (EI),2,155.22999999999956,155.2301703922271,1.782330418715055,8709.798999999999,8554.569
Spain,2,148.1421499999999,148.19173530323806,9.283453798427496,1596.9385000000002,1600.7717499999999
Sri Lanka,2,17.050351999999997,17.190117788614707,16.064787635499012,105.709498,122.75985
Sweden,2,38.441449999999975,45.33588185604201,6.322816921383496,604.6800000000001,566.23855
Switzerland,2,18.703030000000012,20.313601456487227,5.78489883127008,328.26750000000004,336.19461
Taiwan,2,71.98434999999995,73.82615876127505,5.733982812007713,1255.112,1238.72435
Thailand,2,22.389999999999986,29.50549851197227,1.6102728644871416,1404.5014999999999,1426.8915
Trinidad and Tobago,2,2.285685000000001,2.6588808231002052,1.4229936275984938,161.865,163.223415
Turkey,2,145.51780000000008,169.76184877892914,7.045476405007786,2027.277,1881.7592
Turkmenistan,2,28.712109999999996,31.84143965533281,7.4266620233188005,404.812,418.57761000000005
Ukraine,2,284.43812,288.9924220424315,47.749761612729195,594.592,879.03012
United Arab Emirates,2,285.24075000000005,297.82398231872634,19.14676107025238,1477.6565,1192.4157500000001
United Kingdom,2,180.6218,184.05455197087628,9.346206716962806,1933.2930000000001,2113.9148
United States,2,469.15149999999994,568.315695898416,1.7861950914139186,26372.578,26841.7295
Upper-middle-income countries,2,5003.262499999997,5012.024415892092,6.788507946211768,73650.8395,68647.577
Uzbekistan,2,81.52819999999997,92.02796797604516,12.163469493916745,647.9945,566.4663
Venezuela,2,30.68059999999997,31.75412647153119,4.389915958681727,699.013,707.1999000000001
Vietnam,2,201.04174999999998,224.92613333911422,13.865757629162626,1426.094,1225.05225
Western Africa (EI),2,37.04480499999994,37.083495953793864,3.703690222857777,1002.017975,964.97317
World,2,7270.570000000007,7511.487719606557,4.1535529454376725,174487.94,167217.37
